,B365H,B365D,B365A,FTR
347,2.25,3.29,3.2,D
348,2.89,3.39,2.54,D
349,7.5,4.5,1.5,D
352,2.29,3.29,3.5,D
354,2.25,3.2,3.7,D
356,2.62,3.1,3.1,A
357,1.33,5.75,10.0,D
358,1.85,3.6,4.75,A
364,4.75,3.6,1.85,H
366,2.89,3.29,2.62,D
367,2.25,3.5,3.39,A
368,2.7,3.39,2.79,A
370,8.0,4.75,1.44,H
373,1.08,13.0,34.0,D
375,1.16,8.5,19.0,D
376,3.75,3.79,2.0,H
379,4.75,3.79,1.8,D
380,2.14,3.5,3.6,A
385,6.5,4.2,1.6,H
387,1.9,3.79,4.2,A
390,2.4,3.3,3.25,A
391,2.0,3.3,4.5,A
392,3.2,3.4,2.4,D
393,4.5,3.6,1.91,H
395,2.38,3.2,3.4,D
396,1.8,3.75,5.0,D
397,2.4,3.5,3.1,A
401,6.5,4.2,1.57,H
402,2.88,3.6,2.5,D
404,1.8,3.6,5.25,A
408,2.55,3.2,3.1,A
411,2.3,3.2,3.3,D
415,1.57,3.6,6.5,D
416,2.38,3.4,3.0,D
419,2.6,3.1,2.9,D
422,2.45,3.1,3.4,D
424,2.38,3.25,3.4,A
425,2.3,3.2,3.6,A
427,1.91,3.6,4.5,A
428,5.75,4.0,1.67,D
430,2.25,3.5,3.4,A
439,6.0,4.2,1.62,H
441,3.6,3.5,2.15,H
445,2.38,3.3,3.3,D
446,2.88,3.25,2.7,A
448,2.8,3.3,2.75,A
450,1.73,4.0,5.0,D
452,2.5,3.25,3.2,D
454,2.38,3.3,3.3,D
455,2.25,3.4,3.5,D
457,2.25,3.4,3.5,D
458,1.33,5.75,10.0,D
459,3.0,3.5,2.5,H
463,2.15,3.5,3.6,A
464,1.5,4.75,7.0,D
466,5.5,3.8,1.73,D
467,2.25,3.3,3.6,A
469,2.2,3.5,3.5,D
470,1.25,6.5,15.0,D
471,4.2,3.6,1.95,D
472,6.0,3.8,1.67,H
476,2.38,3.3,3.3,D
479,1.5,4.5,7.5,D
481,1.2,7.0,19.0,D
484,1.62,4.2,6.0,D
490,1.65,4.2,5.5,A
491,3.3,3.3,2.38,H
493,1.22,7.0,15.0,D
494,2.0,3.6,4.0,D
495,1.95,3.6,4.2,D
496,5.75,3.8,1.7,H
497,1.8,3.6,5.25,A
501,1.6,4.33,6.0,D
502,2.6,3.4,2.9,D
503,3.4,3.6,2.2,D
504,2.3,3.4,3.4,A
512,3.1,3.2,2.6,D
513,1.91,3.6,4.5,D
517,1.45,4.75,8.0,D
519,2.4,3.3,3.3,A
520,3.5,3.3,2.3,H
521,2.15,3.6,3.6,A
523,3.4,3.4,2.3,H
527,5.0,4.0,1.75,H
528,3.6,3.5,2.15,D
531,3.5,3.5,2.2,H
532,3.5,3.3,2.3,D
533,5.25,4.0,1.7,H
535,3.1,3.4,2.45,H
537,1.3,6.0,11.0,D
541,4.2,3.75,1.91,H
545,3.1,3.3,2.5,D
552,2.6,3.4,2.9,D
564,2.5,3.3,2.9,A
566,2.63,3.2,2.8,A
567,2.5,3.3,2.9,D
569,2.8,3.25,2.6,A
570,4.33,3.5,1.95,D
576,1.75,3.7,5.5,A
577,2.9,3.4,2.6,A
582,2.75,3.2,2.88,D
583,11.0,5.5,1.33,D
586,4.33,3.4,1.85,D
587,1.75,3.5,4.75,A
590,3.6,3.4,2.2,H
591,3.3,3.5,2.3,H
596,2.5,3.2,3.2,D
598,4.5,4.0,1.8,H
599,2.15,3.4,3.75,D
600,1.83,3.75,4.75,D
602,1.22,7.0,15.0,A
603,2.15,3.5,3.6,D
604,2.5,3.2,3.25,A
605,6.0,4.2,1.6,D
610,1.22,7.0,15.0,A
611,2.05,3.5,3.9,A
613,2.65,3.25,2.9,D
614,2.7,3.1,3.0,D
615,9.5,5.25,1.36,D
616,3.4,3.4,2.3,H
